Time,CPU,Total_Memory,Free_Memory,Used_Memory,Percentage_Utilization,Bytes_Sent,Bytes_Receive
249,0.0,2097139712,1126146048,130199552,15.5,51394718,79038564
250,1.0,2097139712,1126178816,130166784,15.5,51400259,79041366
251,1.0,2097139712,1126277120,130068480,15.5,51405666,79044300
252,1.0,2097139712,1126113280,130232320,15.5,51411188,79047040
253,2.9,2097139712,1126146048,130199552,15.5,51416817,79049908
254,0.0,2097139712,1126211584,130134016,15.5,51422181,79052706
255,0.0,2097139712,1126080512,130265088,15.5,51427678,79055442
256,2.0,2097139712,1126146048,130199552,15.5,51433102,79058116
257,1.0,2097139712,1126211584,130134016,15.5,51438523,79060720
258,0.0,2097139712,1126080512,130265088,15.5,51443728,79063324
259,1.0,2097139712,1126146048,130199552,15.5,51449080,79066122
260,1.0,2097139712,1126211584,130134016,15.5,51454381,79068924
261,1.0,2097139712,1126080512,130265088,15.5,51459648,79071792
262,1.0,2097139712,1126146048,130199552,15.5,51464785,79074330
263,2.0,2097139712,1126211584,130134016,15.5,51470361,79077400
264,1.0,2097139712,1126080512,130265088,15.5,51475834,79080244
265,1.0,2097139712,1126146048,130199552,15.5,51480927,79082980
266,1.0,2097139712,1126178816,130199552,15.5,51486081,79085514
267,2.0,2097139712,1126244352,130101248,15.5,51491294,79088316
268,1.0,2097139712,1126113280,130232320,15.5,51496649,79091118
269,0.0,2097139712,1126178816,130166784,15.5,51502137,79093986
270,1.0,2097139712,1126244352,130101248,15.5,51507501,79096788
271,1.0,2097139712,1126113280,130232320,15.5,51512714,79099590
272,0.0,2097139712,1126178816,130166784,15.5,51518040,79102458
273,0.0,2097139712,1126244352,130101248,15.5,51523853,79105458
274,1.0,2097139712,1126080512,130265088,15.5,51529862,79108792
275,1.0,2097139712,1126178816,130166784,15.5,51535317,79111528
276,1.0,2097139712,1126211584,130134016,15.5,51540485,79113930
277,1.0,2097139712,1126080512,130265088,15.5,51545786,79116600
278,0.0,2097139712,1126146048,130199552,15.5,51551264,79119274
279,2.9,2097139712,1126211584,130134016,15.5,51556577,79121812
280,2.0,2097139712,1126113280,130232320,15.5,51561988,79124746
281,1.0,2097139712,1126146048,130199552,15.5,51567154,79127280
282,1.0,2097139712,1126178816,130166784,15.5,51572323,79129950
283,2.0,2097139712,1126244352,130101248,15.5,51577800,79132884
284,0.0,2097139712,1126113280,130232320,15.5,51583376,79135690
285,2.0,2097139712,1126178816,130166784,15.5,51588676,79138290
286,0.0,2097139712,1126244352,130101248,15.5,51593943,79141224
287,0.0,2097139712,1126113280,130232320,15.5,51599354,79144026
288,2.0,2097139712,1126178816,130166784,15.5,51604864,79146832
289,1.0,2097139712,1126244352,130101248,15.5,51610713,79149832
290,2.0,2097139712,1126113280,130232320,15.5,51616109,79152498
291,1.0,2097139712,1126178816,130166784,15.5,51621440,79155408
292,2.9,2097139712,1126244352,130101248,15.5,51627004,79158478
293,2.0,2097139712,1126129664,130215936,15.5,51632314,79161210
294,1.0,2097139712,1126195200,130150400,15.5,51638042,79164214
295,1.0,2097139712,1126260736,130084864,15.5,51643166,79166880
296,0.0,2097139712,1126096896,130248704,15.5,51648401,79169616
297,0.0,2097139712,1126162432,130183168,15.5,51653908,79172682
298,2.9,2097139712,1126227968,130117632,15.5,51659209,79175418
299,0.0,2097139712,1126096896,130248704,15.5,51664785,79178290
300,1.0,2097139712,1126162432,130183168,15.5,51670117,79180956
301,3.9,2097139712,1126084608,130260992,15.5,51675228,79183824
302,1.0,2097139712,1125969920,130375680,15.5,51680591,79186560
303,1.0,2097139712,1126035456,130310144,15.5,51685814,79189362
304,1.0,2097139712,1126100992,130244608,15.5,51691151,79192032
305,2.0,2097139712,1125969920,130375680,15.5,51696310,79194834
306,1.9,2097139712,1126035456,130310144,15.5,51701516,79197706
307,0.0,2097139712,1126068224,130277376,15.5,51706540,79200174
308,1.0,2097139712,1126133760,130211840,15.5,51712001,79202910
309,1.0,2097139712,1126002688,130342912,15.5,51717334,79205910
310,1.0,2097139712,1126068224,130277376,15.5,51722966,79208782
311,1.0,2097139712,1126133760,130211840,15.5,51728166,79211382
312,1.0,2097139712,1126002688,130342912,15.5,51733717,79214250
313,2.0,2097139712,1126068224,130277376,15.5,51738832,79216920
314,1.0,2097139712,1126133760,130211840,15.5,51744091,79219458
315,1.0,2097139712,1126002688,130342912,15.5,51749777,79222594
316,0.0,2097139712,1126002688,130277376,15.5,51755001,79225326
317,1.0,2097139712,1126133760,130211840,15.5,51760737,79228264
318,0.0,2097139712,1125969920,130375680,15.5,51766202,79231000
319,1.0,2097139712,1126035456,130310144,15.5,51771684,79233774
320,2.0,2097139712,1126100992,130244608,15.5,51776777,79236510
321,2.0,2097139712,1125969920,130375680,15.5,51782169,79239514
322,1.0,2097139712,1126035456,130310144,15.5,51787377,79242312
323,1.0,2097139712,1126100992,130244608,15.5,51792855,79244986
324,2.0,2097139712,1126002688,130342912,15.5,51798092,79247788
325,1.0,2097139712,1126002688,130342912,15.5,51803665,79250722
326,2.0,2097139712,1126068224,130277376,15.5,51808911,79253190
327,1.0,2097139712,1126133760,130211840,15.5,51814511,79256190
328,2.0,2097139712,1126002688,130342912,15.5,51819961,79258926
329,1.0,2097139712,1126068224,130277376,15.5,51825054,79261662
330,1.0,2097139712,1126133760,130211840,15.5,51830377,79264398
331,2.0,2097139712,1126002688,130342912,15.5,51835668,79267266
332,1.0,2097139712,1126068224,130277376,15.5,51841192,79270006
333,0.0,2097139712,1126133760,130211840,15.5,51846326,79272606
334,2.0,2097139712,1126002688,130342912,15.5,51851660,79275346
335,1.0,2097139712,1126035456,130310144,15.5,51856706,79277748
336,1.0,2097139712,1126100992,130244608,15.5,51862115,79280616
337,0.0,2097139712,1125969920,130375680,15.5,51867627,79283616
338,1.0,2097139712,1126035456,130310144,15.5,51873156,79286356
339,1.0,2097139712,1126100992,130244608,15.5,51878204,79288758
340,1.0,2097139712,1126166528,130179072,15.5,51883351,79291560
341,1.0,2097139712,1126002688,130342912,15.5,51888787,79294366
